customer_id,branch_id,month,is_treatment,is_post,treatment_post,month_num,month_index,CEMI,service_resolution_rate,auto_approval_rate,marketing_conversion_rate,wealth_adoption_rate,age,tenure_months,previous_campaigns,has_loan,has_credit_card,staff_count,prior_performance,digital_maturity,month_date,time_to_treatment,gender_F,gender_M,income_level_high,income_level_low,income_level_medium,AUM_level_high,AUM_level_low,AUM_level_medium,branch_size_large,branch_size_medium,branch_size_small,location_type_rural,location_type_suburban,location_type_urban,propensity_score
C000006,Branch_20,2022-03,1,0,0,626,0,53.05692875566783,62.75600977489497,59.80387560753406,66.22294656180222,65.95260409260719,51,36,5,0,1,25,57.58335242990666,63.595496695037696,2022-03-01,-13,True,False,False,True,False,False,True,False,False,False,True,False,False,True,0.7639159530006733
C000006,Branch_20,2022-04,1,0,0,627,1,50.6738212178897,63.84803671346123,65.41311220226582,67.19665643578182,59.76624698840755,51,36,5,0,1,25,57.58335242990666,63.595496695037696,2022-04-01,-12,True,False,False,True,False,False,True,False,False,False,True,False,False,True,0.7639159530006733
C000006,Branch_20,2022-05,1,0,0,628,2,48.56119368746504,59.32830693501242,63.04114185063126,70.77366578433586,73.55049248415658,51,36,5,0,1,25,57.58335242990666,63.595496695037696,2022-05-01,-11,True,False,False,True,False,False,True,False,False,False,True,False,False,True,0.7639159530006733
C000006,Branch_20,2022-06,1,0,0,629,3,49.61180360383669,73.62561328642373,70.49077758271012,64.29835804342193,65.05003121891502,51,36,5,0,1,25,57.58335242990666,63.595496695037696,2022-06-01,-10,True,False,False,True,False,False,True,False,False,False,True,False,False,True,0.7639159530006733
C000006,Branch_20,2022-07,1,0,0,630,4,49.08199322021935,67.35721356715197,58.15589164680267,65.56517948650352,65.1325209172875,51,36,5,0,1,25,57.58335242990666,63.595496695037696,2022-07-01,-9,True,False,False,True,False,False,True,False,False,False,True,False,False,True,0.7639159530006733
C000006,Branch_20,2022-08,1,0,0,631,5,50.76204978536602,68.79690404132026,64.19406471567632,61.17079271044934,62.46033476815288,51,36,5,0,1,25,57.58335242990666,63.595496695037696,2022-08-01,-8,True,False,False,True,False,False,True,False,False,False,True,False,False,True,0.7639159530006733
C000006,Branch_20,2022-09,1,0,0,632,6,48.153143620381385,63.22421999924565,63.750663814639736,65.00336998014532,68.91790574078524,51,36,5,0,1,25,57.58335242990666,63.595496695037696,2022-09-01,-7,True,False,False,True,False,False,True,False,False,False,True,False,False,True,0.7639159530006733
C000006,Branch_20,2022-10,1,0,0,633,7,48.873194164484985,65.30840832502412,69.18370130221128,64.37570991285398,61.003812602437975,51,36,5,0,1,25,57.58335242990666,63.595496695037696,2022-10-01,-6,True,False,False,True,False,False,True,False,False,False,True,False,False,True,0.7639159530006733
C000006,Branch_20,2022-11,1,0,0,634,8,49.43992325603962,67.07599464370414,64.69610552921519,66.16283759972832,68.50064857175133,51,36,5,0,1,25,57.58335242990666,63.595496695037696,2022-11-01,-4,True,False,False,True,False,False,True,False,False,False,True,False,False,True,0.7639159530006733
C000006,Branch_20,2022-12,1,0,0,635,9,50.84669070166626,66.01056049350152,62.68085790181986,64.95841607699629,62.17290118939951,51,36,5,0,1,25,57.58335242990666,63.595496695037696,2022-12-01,-3,True,False,False,True,False,False,True,False,False,False,True,False,False,True,0.7639159530006733
C000006,Branch_20,2023-01,1,0,0,636,10,51.33026929659515,60.64393104132593,66.28220849865828,64.38562302211679,64.28341597222571,51,36,5,0,1,25,57.58335242990666,63.595496695037696,2023-01-01,-2,True,False,False,True,False,False,True,False,False,False,True,False,False,True,0.7639159530006733
