branch_id,month,is_treatment,is_post,treatment_post,ln_branch_size,ln_city_gdp,staff_count,digital_maturity,month_date,month_index,marketing_conversion_rate,cac_reduction_rate,retention_rate,aum_growth_rate,cross_sell_rate,marketing_conversion_rate_std,cac_reduction_rate_std,retention_rate_std,aum_growth_rate_std,cross_sell_rate_std,CEMI,service_resolution_rate,auto_approval_rate,wealth_adoption_rate,pre_treatment_cemi_mean
Branch_1,2022-03,1,0,0,12.05428862497656,13.32835956486116,81,33.32179822929619,2022-03-01,0,2.6380214060258798,7.8449498447748605,62.05918975511121,0.9863246523948469,7.095764315680489,0.12969563192659084,1.5181996864073368,0.06035485716125702,-0.42195966768061455,-0.7743748877174984,51.02383124019414,70.70244046063927,76.87259293346429,45.65777721386708,51.378237829251866
Branch_1,2022-04,1,0,0,12.05428862497656,13.32835956486116,81,33.32179822929619,2022-04-01,1,2.909994066619046,-2.3324122647342342,47.06387678698727,1.46736894679666,8.178236717085857,0.5193537675939474,-0.49501217493532024,-1.6595368618644089,0.824101819504695,-0.3142429050177945,47.749327290562235,72.71281030097067,60.850285247533726,31.382874816540127,51.378237829251866
Branch_1,2022-05,1,0,0,12.05428862497656,13.32835956486116,81,33.32179822929619,2022-05-01,2,2.219703050707222,-4.217796709516063,50.87257712737727,1.4023773147988492,12.278893150656467,-0.4696335436361336,-0.8679652335554191,-1.2226968846254058,0.6557523128911784,1.4288437295231526,49.04860076119475,65.84038654730097,57.44880928436304,34.807427522629496,51.378237829251866
Branch_1,2022-06,1,0,0,12.05428862497656,13.32835956486116,81,33.32179822929619,2022-06-01,3,3.6091694018958775,-1.2386236833963127,57.8967781401663,1.1942090392376536,8.485786238074448,1.5210697380682774,-0.27864686120699933,-0.41705413609803177,0.11652864045755937,-0.18351128480549314,51.51677219283062,78.79613163810944,62.293466100995474,41.8855592094619,51.378237829251866
Branch_1,2022-07,1,0,0,12.05428862497656,13.32835956486116,81,33.32179822929619,2022-07-01,4,2.209347132896551,6.4316872029971375,54.50528553964324,1.340064439940158,9.707959429446703,-0.4844705776910627,1.238638334162535,-0.8060423520276253,0.494341660232328,0.3360040146316377,51.55694215861563,64.8227268393531,74.63096075093854,38.759162385709516,51.378237829251866
Branch_1,2022-08,1,0,0,12.05428862497656,13.32835956486116,81,33.32179822929619,2022-08-01,5,2.193006532281358,-0.05912583159800744,81.44229651924678,1.3183678119008009,9.563149487300263,-0.5078819307201283,-0.04532716204351248,2.2835058433055564,0.43814032302439637,0.27444892490559664,54.88577199694382,64.39540270293305,64.01288211650676,64.19458515386482,51.378237829251866
Branch_1,2022-09,1,0,0,12.05428862497656,13.32835956486116,81,33.32179822929619,2022-09-01,6,2.6354439729701773,2.120559819586733,49.850238297333746,0.9568363639814446,7.0763860966735095,0.12600291605911343,0.38584242392056367,-1.3399543297729628,-0.4983439444355141,-0.782612084639373,45.781869962263656,68.4845189935552,67.75513912457278,34.04907669525584,51.378237829251866
Branch_1,2022-10,1,0,0,12.05428862497656,13.32835956486116,81,33.32179822929619,2022-10-01,7,1.4031973901940091,4.918846809668777,71.43701664286586,0.6020119419925556,9.066004899697228,-1.6394499242367662,0.9393792342705048,1.1359474000438963,-1.4174548290224376,0.06312517708050341,48.1630941162714,55.9246743230043,72.34105943194578,54.92596222526694,51.378237829251866
Branch_1,2022-11,1,0,0,12.05428862497656,13.32835956486116,81,33.32179822929619,2022-11-01,8,2.0130155290475726,9.969850302091531,64.26370128633693,1.892274439153791,12.572459982987047,-0.7657569634679465,1.9385320631875027,0.31320193912023064,1.92474551465157,1.553631658009614,59.92870842300194,61.323698930657756,80.87045392678442,48.084011325409215,51.378237829251866
Branch_1,2022-12,1,0,0,12.05428862497656,13.32835956486116,81,33.32179822929619,2022-12-01,9,2.0155218880416816,-2.1891139439370635,77.65078743860087,1.3188667356855792,7.67418263511904,-0.7621660761676288,-0.46666594179207754,1.8486376225304781,0.43943269821829845,-0.5285037063298237,51.061469192918494,61.177143072929375,60.71260223104366,60.99101351462052,51.378237829251866
Branch_1,2023-01,1,0,0,12.05428862497656,13.32835956486116,81,33.32179822929619,2023-01-01,10,3.81014979721103,3.3312436958414975,62.66684704408215,1.3862953257293968,11.69381970570998,1.8090164970307052,0.6253311159594445,0.1300502840942134,0.6140947203368405,1.1801436204962088,58.717272475834825,78.04358932120189,69.53529414129514,46.69407186637042,51.378237829251866
Branch_1,2023-02,1,0,0,12.05428862497656,13.32835956486116,81,33.32179822929619,2023-02-01,11,2.797537370246604,-0.28310766093388684,51.65343673545621,1.272503013276974,6.795041263753877,0.35823585759436893,-0.08963362089721731,-1.1331359680569122,0.31933554798028524,-0.9022047464250736,47.1051941403909,67.96412877857776,64.04694909858743,35.81832524629236,51.378237829251866
Branch_1,2023-03,1,1,1,12.05428862497656,13.32835956486116,81,33.32179822929619,2023-03-01,12,4.026696674112063,13.190048865346004,57.15974925302947,1.9419408161337097,11.26987909992512,2.1192655204208353,2.5755283568897016,-0.5015878755647531,2.053397616511882,0.9999370570462357,64.49308135060781,94.96853936203094,100.0,47.398350047172876,51.378237829251866
Branch_1,2023-04,1,1,1,12.05428862497656,13.32835956486116,81,33.32179822929619,2023-04-01,13,3.790603357088585,-0.421195363732429,52.39289565344097,1.6560652235415498,10.620218614624376,1.7810121034992585,-0.11694912742909543,-1.048323515505561,1.312886669389367,0.7237826102492693,55.30481748040648,94.0926233955084,79.51026348140083,43.683990003841735,51.378237829251866
Branch_1,2023-05,1,1,1,12.05428862497656,13.32835956486116,81,33.32179822929619,2023-05-01,14,4.299134354571306,1.6969652978474787,70.65176155725905,2.669050990179149,12.764600502026756,2.5095898950170183,0.302050031904911,1.0458823429204567,3.9368499209307206,1.6353057938747957,68.8593559692958,100.0,84.77682586846021,61.86792082458614,51.378237829251866
Branch_1,2023-06,1,1,1,12.05428862497656,13.32835956486116,81,33.32179822929619,2023-06-01,15,4.6184648443550484,6.560587714306994,72.95314102899351,1.814185159511088,11.28464057110587,2.967098098376497,1.2641364971943558,1.3098397210815986,1.7224688323227315,1.0062117897721181,66.5395098774946,100.0,94.19584444095179,64.69722850707687,51.378237829251866
Branch_1,2023-07,1,1,1,12.05428862497656,13.32835956486116,81,33.32179822929619,2023-07-01,16,4.996512177656533,11.301355370482906,79.58857227135412,2.0415280218167933,16.855319097006145,3.508730550575899,2.2019207260138742,2.070892409355565,2.311360933117482,3.3741681014317098,76.93414544098906,100.0,100.0,71.48218708372664,51.378237829251866
Branch_1,2023-08,1,1,1,12.05428862497656,13.32835956486116,81,33.32179822929619,2023-08-01,17,5.74032238297426,15.733426902822506,64.28579961175798,2.4431676877259543,14.143548933979726,4.574395376085723,3.0786409294630954,0.3157365128885007,3.351738555801315,2.221462332564745,77.08394741360675,100.0,100.0,57.8401509441714,51.378237829251866
Branch_1,2023-09,1,1,1,12.05428862497656,13.32835956486116,81,33.32179822929619,2023-09-01,18,5.429027607831744,13.98356361770894,71.6612689105319,2.3028137142029896,11.601235645743605,4.128400026919111,2.732495682451875,1.1616680781618811,2.9881760252491723,1.1407884489247138,74.3030565234135,100.0,100.0,65.50401736085607,51.378237829251866
